[2025-03-22 14:09:46.509] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":58}
[2025-03-22 14:09:46.511] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":65}
[2025-03-22 14:09:46.511] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":65}
[2025-03-22 14:09:46.513] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":79}
[2025-03-22 14:09:46.514] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":79}
[2025-03-22 14:09:46.516] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":87}
[2025-03-22 14:09:46.516] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":87}
[2025-03-22 14:09:46.517] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":96}
[2025-03-22 14:09:46.517] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":96}
[2025-03-22 14:09:46.524] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":100}
[2025-03-22 14:09:46.525] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":100}
[2025-03-22 14:09:46.525] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6}
[2025-03-22 14:09:46.526] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6}
[2025-03-22 14:09:46.805] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":1}
[2025-03-22 14:09:46.806] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":1}
[2025-03-22 14:09:46.812] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":2}
[2025-03-22 14:09:46.813] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":2}
[2025-03-22 14:09:46.817] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":3}
[2025-03-22 14:09:46.817] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":3}
[2025-03-22 14:09:46.825] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":4}
[2025-03-22 14:09:46.826] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":4}
[2025-03-22 14:09:46.828] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":5}
[2025-03-22 14:09:46.828] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":5}
[2025-03-22 14:09:46.831] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":6}
[2025-03-22 14:09:46.831] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":6}
[2025-03-22 14:09:46.838] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":7}
[2025-03-22 14:09:46.838] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":7}
[2025-03-22 14:09:46.841] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":8}
[2025-03-22 14:09:46.842] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":8}
[2025-03-22 14:09:46.845] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":9}
[2025-03-22 14:09:46.846] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":9}
[2025-03-22 14:09:46.848] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":10}
[2025-03-22 14:09:46.848] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":10}
[2025-03-22 14:09:46.850] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":11}
[2025-03-22 14:09:46.850] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":11}
[2025-03-22 14:09:46.855] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":12}
[2025-03-22 14:09:46.856] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":12}
[2025-03-22 14:09:46.857] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":13}
[2025-03-22 14:09:46.857] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":13}
[2025-03-22 14:09:46.860] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":14}
[2025-03-22 14:09:46.861] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":14}
[2025-03-22 14:09:46.872] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":15}
[2025-03-22 14:09:46.873] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":15}
[2025-03-22 14:09:46.875] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":16}
[2025-03-22 14:09:46.876] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":16}
[2025-03-22 14:09:46.879] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":17}
[2025-03-22 14:09:46.880] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":17}
[2025-03-22 14:09:46.881] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":18}
[2025-03-22 14:09:46.881] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":18}
[2025-03-22 14:09:46.884] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":20}
[2025-03-22 14:09:46.884] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":20}
[2025-03-22 14:09:46.890] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":24}
[2025-03-22 14:09:46.890] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":24}
[2025-03-22 14:09:46.892] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":25}
[2025-03-22 14:09:46.893] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":25}
[2025-03-22 14:09:46.894] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":26}
[2025-03-22 14:09:46.894] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":26}
[2025-03-22 14:09:46.897] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":27}
[2025-03-22 14:09:46.897] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":27}
[2025-03-22 14:09:46.900] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":28}
[2025-03-22 14:09:46.901] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":28}
[2025-03-22 14:09:46.903] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":29}
